Entity,Code,Year,Hydropower (terawatt-hours),Wind (terawatt-hours),Solar (terawatt-hours),Other renewables (modern biofuels; geothermal; wave & tidal) (terawatt-hours)
Argentina,ARG,2008,37.522,0.041951078,0.0001437,1.80180867
Argentina,ARG,2009,41.212,0.036831529,7.6084E-05,1.834468498
Argentina,ARG,2010,40.874,0.025351606,8.589E-05,2.127493014
Argentina,ARG,2011,39.978,0.02659055,0.001614,2.167118609
Argentina,ARG,2012,37.307,0.369861999,0.008172967,2.230550449
Argentina,ARG,2013,41.089,0.453354876,0.015074079,2.32452821
Argentina,ARG,2014,41.298,0.731192,0.015944,2.840839114
Argentina,ARG,2015,42.2609,0.593334963,0.014683,2.150421529
Argentina,ARG,2016,38.3728972,0.547054836,0.014271876,2.342691582
Asia Pacific,,1965,150.5575963,0,0,1.644
Asia Pacific,,1966,163.3877813,0,0,1.643
Asia Pacific,,1967,154.0227975,0,0,1.424
Asia Pacific,,1968,164.4468621,0,0,1.577
Asia Pacific,,1969,175.3833213,0,0,1.608
Asia Pacific,,1970,179.1186721,0,0,1.776704
Asia Pacific,,1971,194.6919119,0,0,1.754611
Asia Pacific,,1972,203.6090225,0,0,1.785591
Asia Pacific,,1973,197.1790323,0,0,1.834998
Asia Pacific,,1974,215.1633642,0,0,2.496269105
Asia Pacific,,1975,229.4817131,0,0,2.654334368
Asia Pacific,,1976,232.7120742,0,0,2.587064579
Asia Pacific,,1977,225.8236473,0,0,2.622443474
Asia Pacific,,1978,235.1167425,0,0,2.917471368
Asia Pacific,,1979,255.1727537,0,0,3.712920421
Asia Pacific,,1980,271.6225906,0,0,5.173433158
Asia Pacific,,1981,288.8969017,0,0,7.071965421
Asia Pacific,,1982,279.799085,0,0,15.95189426
Asia Pacific,,1983,300.6471275,0,0,18.06780642
Asia Pacific,,1984,297.1641353,0,0,19.74213742
Asia Pacific,,1985,319.7098528,0,0,20.79148682
Asia Pacific,,1986,322.8854648,0,0,21.68988971
Asia Pacific,,1987,328.0604442,0,0,22.00974974
Asia Pacific,,1988,353.6690414,0,0,23.82670437
Asia Pacific,,1989,387.2186956,0,0,25.92936279
Asia Pacific,,1990,398.8830314,0.032323232,0.003,22.04506809
Asia Pacific,,1991,409.6530865,0.122000909,0.010470202,22.53676423
Asia Pacific,,1992,401.6886302,0.22047404,0.027721212,22.76473959
Asia Pacific,,1993,441.841457,0.310836667,0.043221212,22.75344914
Asia Pacific,,1994,446.1341605,0.586426465,0.054531313,26.22917951
Asia Pacific,,1995,482.5650928,1.122560909,0.071791414,30.71961403
Asia Pacific,,1996,473.6077366,0.992164662,0.098291919,31.24777827
Asia Pacific,,1997,471.8776914,1.214869233,0.148156866,35.1110743
Asia Pacific,,1998,511.2392537,1.49138855,0.20305825,38.1018564
Asia Pacific,,1999,499.0163174,2.063723138,0.28603602,41.11243509
Asia Pacific,,2000,518.9513693,2.563353736,0.426907042,42.79416406
Asia Pacific,,2001,571.0937807,3.516863857,0.604653143,43.62679718
Asia Pacific,,2002,581.9854564,4.066197047,0.825702344,45.4653742
Asia Pacific,,2003,595.33091,5.340072455,1.112103739,47.7488391
Asia Pacific,,2004,683.7248881,9.186525828,1.458400468,51.48587094
Asia Pacific,,2005,727.5000161,12.02032494,1.844419184,59.69443276
Asia Pacific,,2006,800.675026,18.77375813,2.260324265,63.6874507
Asia Pacific,,2007,852.3011987,24.33253008,2.667730471,70.02910881
Asia Pacific,,2008,996.6592394,35.03721124,3.249251752,77.37487666
Asia Pacific,,2009,965.838927,56.74413632,4.307085848,86.28558831
Asia Pacific,,2010,1094.850807,76.91540595,6.848653697,97.82647455
Asia Pacific,,2011,1115.838664,110.4198003,11.87142741,106.2316171
Asia Pacific,,2012,1279.012835,143.4843615,16.77192704,112.9371459
Asia Pacific,,2013,1364.604929,194.9845188,31.52345189,122.7552014
Asia Pacific,,2014,1509.12478,210.5628903,61.68599042,138.6426199
Asia Pacific,,2015,1567.341017,243.2756203,95.49859498,159.3191784
Asia Pacific,,2016,1626.819057,315.0261438,145.9957431,177.5939279
Australia,AUS,1965,7.689756,0,0,0.296
Australia,AUS,1966,7.3450428,0,0,0.284
Australia,AUS,1967,7.6057874,0,0,0.29
Australia,AUS,1968,7.9505006,0,0,0.282
Australia,AUS,1969,8.684121,0,0,0.281
Australia,AUS,1970,10.170687,0,0,0.261
Australia,AUS,1971,11.5074428,0,0,0.263
Australia,AUS,1972,11.5533144,0,0,0.28
Australia,AUS,1973,12.2858392,0,0,0.338
Australia,AUS,1974,13.8739202,0,0,0.429
Australia,AUS,1975,14.8878016,0,0,0.489
Australia,AUS,1976,14.1538588,0,0,0.484
Australia,AUS,1977,13.5439502,0,0,0.429
Australia,AUS,1978,14.6753494,0,0,0.405
Australia,AUS,1979,14.2460556,0,0,0.418
Australia,AUS,1980,13.4665978,0,0,0.385
Australia,AUS,1981,13.8663438,0,0,0.404
Australia,AUS,1982,12.770334,0,0,0.516
Australia,AUS,1983,12.123648,0,0,0.431
Australia,AUS,1984,13.1259488,0,0,0.441
Australia,AUS,1985,13.9405106,0,0,0.456
Australia,AUS,1986,14.0257988,0,0,0.46
Australia,AUS,1987,13.613796,0,0,0.47
Australia,AUS,1988,14.3344436,0,0,0.731
Australia,AUS,1989,14.253669,0,0,0.81
Australia,AUS,1990,14.7595,0,0,0.7595
Australia,AUS,1991,15.6535,0,0.00545,0.7195
Australia,AUS,1992,15.9415,0,0.0121,0.67
Australia,AUS,1993,16.387,0.002,0.0146,0.67
Australia,AUS,1994,16.15,0.0055,0.0174,0.6965
Australia,AUS,1995,15.631,0.007,0.02115,0.8255
Australia,AUS,1996,15.9685,0.007,0.0256,0.9465
Australia,AUS,1997,15.9525,0.0075,0.03065,0.997
Australia,AUS,1998,15.798,0.018,0.0356,1.081
Australia,AUS,1999,16.2815,0.043,0.0406,1.1335
Australia,AUS,2000,16.4665,0.134,0.04675,0.8895
Australia,AUS,2001,16.1235,0.287,0.05415,0.7975
Australia,AUS,2002,16.095,0.53355,0.0583,1.2668
Australia,AUS,2003,16.21055,0.70405,0.0632,1.6918
Australia,AUS,2004,15.68665,0.795,0.07295,2.81525
Australia,AUS,2005,15.4657,1.29905,0.08405,3.871
Australia,AUS,2006,14.9451,2.1621,0.0975,3.9325
Australia,AUS,2007,13.04895,2.8521,0.11375,4.275
Australia,AUS,2008,11.81515,3.45845,0.1392,3.6961
Australia,AUS,2009,12.64205,4.43775,0.29024203,2.7868
Australia,AUS,2010,13.746,4.985,0.97764828,2.44155
Australia,AUS,2011,19.634,6.432,2.04454657,2.57395
Australia,AUS,2012,17.083,7.725,2.412,3.09785
Australia,AUS,2013,19.144,9.259,3.8474,3.33165
Australia,AUS,2014,14.532,9.777,4.952,3.56024
Australia,AUS,2015,13.949,11.802,5.958,3.343322281
Australia,AUS,2016,17.85490003,13.19088671,7.15788,3.352482068
Austria,AUT,1965,16.083,0,0,0
Austria,AUT,1966,17.331,0,0,0
Austria,AUT,1967,17.698,0,0,0
Austria,AUT,1968,18.185,0,0,0
Austria,AUT,1969,16.718,0,0,0
Austria,AUT,1970,21.2897,0,0,0
Austria,AUT,1971,16.8201,0,0,0
Austria,AUT,1972,17.2876,0,0,0
Austria,AUT,1973,19.2092,0,0,0
Austria,AUT,1974,22.7122,0,0,0
Austria,AUT,1975,23.7952,0,0,0
Austria,AUT,1976,20.5656,0,0,0
Austria,AUT,1977,24.9208,0,0,0
Austria,AUT,1978,24.9408,0,0,0
Austria,AUT,1979,28.0968,0,0,0
Austria,AUT,1980,29.1099,0,0,0
Austria,AUT,1981,30.8473,0,0,0
Austria,AUT,1982,30.8963,0,0,0
Austria,AUT,1983,30.6063,0,0,0
Austria,AUT,1984,26.849564,0,0,0
Austria,AUT,1985,30.775146,0,0,0
Austria,AUT,1986,30.903927,0,0,1.287501
Austria,AUT,1987,35.387991,0,0,0.905816
Austria,AUT,1988,35.304088,0,0,1.04696
Austria,AUT,1989,35.08243,0,0,1.10445
Austria,AUT,1990,31.509,0,0,1.142485
Austria,AUT,1991,31.4434,0,0,1.225832
Austria,AUT,1992,34.8484,0,0,1.329164
Austria,AUT,1993,36.705556,0,0.001,1.361111
Austria,AUT,1994,35.7075,0,0.001,1.210555
Austria,AUT,1995,37.067222,0.001,0.001,1.857221
Austria,AUT,1996,34.216111,0.005,0.001,1.589444
Austria,AUT,1997,36.105278,0.02,0.002,1.711389
Austria,AUT,1998,37.163333,0.045,0.002,1.842777
Austria,AUT,1999,40.6991208,0.051,0.002,1.596911819
Austria,AUT,2000,41.83565055,0.067,0.003,1.52827932
Austria,AUT,2001,40.45548165,0.172,0.005,1.667812
Austria,AUT,2002,40.22700281,0.203,0.009,1.520444
Austria,AUT,2003,33.21499204,0.366,0.015,1.711921
Austria,AUT,2004,36.762283,0.924,0.018,2.05973
Austria,AUT,2005,37.09513834,1.331276757,0.021018,2.387158355
Austria,AUT,2006,35.65608477,1.752792984,0.022387,3.388679636
Austria,AUT,2007,37.05417014,2.0371,0.024238,4.217777446
Austria,AUT,2008,38.32949104,2.011257409,0.03011991,4.30230414
Austria,AUT,2009,40.89630336,1.954040168,0.04891428,4.277982167
Austria,AUT,2010,38.36341829,2.063913736,0.08881314,4.463430081
Austria,AUT,2011,34.24289945,1.93623636,0.17406996,4.504831838
Austria,AUT,2012,43.80547202,2.462029019,0.33748305,4.605099701
Austria,AUT,2013,42.04432129,3.153231562,0.625974,4.584015254
Austria,AUT,2014,41.00982621,3.845768035,0.785246,4.303104852
Austria,AUT,2015,37.05605534,4.840343102,0.937098,4.409360364
Austria,AUT,2016,39.67990363,5.160565977,1.073547327,4.593077479
Azerbaijan,AZE,1985,1.3125618,0,0,0
Azerbaijan,AZE,1986,0.8043308,0,0,0
Azerbaijan,AZE,1987,0.8043308,0,0,0
Azerbaijan,AZE,1988,0.6982652,0,0,0
Azerbaijan,AZE,1989,0.6982652,0,0,0
Azerbaijan,AZE,1990,0.6982652,0,0,0
Azerbaijan,AZE,1991,1.7545018,0,0,0
Azerbaijan,AZE,1992,1.745663,0,0,0
Azerbaijan,AZE,1993,2.3953148,0,0,0
Azerbaijan,AZE,1994,1.8252122,0,0,0
Azerbaijan,AZE,1995,1.5600482,0,0,0
Azerbaijan,AZE,1996,1.5335318,0,0,0
Azerbaijan,AZE,1997,1.7103078,0,0,0
Azerbaijan,AZE,1998,1.9533748,0,0,0
Azerbaijan,AZE,1999,1.5114348,0,0,0
Azerbaijan,AZE,2000,1.534,0,0,0
Azerbaijan,AZE,2001,1.301,0,0,0
Azerbaijan,AZE,2002,2.02,0,0,0
Azerbaijan,AZE,2003,2.47,0,0,0
Azerbaijan,AZE,2004,2.755,0,0,0
Azerbaijan,AZE,2005,3.0094,0,0,0
Azerbaijan,AZE,2006,2.518,0,0,0
Azerbaijan,AZE,2007,2.364,0,0,0
Azerbaijan,AZE,2008,2.232,0,0,0
Azerbaijan,AZE,2009,2.3084,0.0021,0,0
Azerbaijan,AZE,2010,3.4463,0.0005,0,0
Azerbaijan,AZE,2011,2.6758,0,0,0
Azerbaijan,AZE,2012,1.821,0,0,0
Azerbaijan,AZE,2013,1.4891,0.0008,0.0008,0.067
Azerbaijan,AZE,2014,1.2997,0.0023,0.0029,0.083678358
Azerbaijan,AZE,2015,1.6375,0.0046,0.0046,0.0909
Azerbaijan,AZE,2016,1.9589,0.0178,0.0619,0.08725
Bangladesh,BGD,1965,0,0,0,0
Bangladesh,BGD,1966,0,0,0,0
Bangladesh,BGD,1967,0,0,0,0
Bangladesh,BGD,1968,0,0,0,0
Bangladesh,BGD,1969,0,0,0,0
Bangladesh,BGD,1970,0,0,0,0
Bangladesh,BGD,1971,0,0,0,0
Bangladesh,BGD,1972,0.175,0,0,0
Bangladesh,BGD,1973,0.331,0,0,0
Bangladesh,BGD,1974,0.243,0,0,0
Bangladesh,BGD,1975,0.436,0,0,0
Bangladesh,BGD,1976,0.494,0,0,0
Bangladesh,BGD,1977,0.437,0,0,0
Bangladesh,BGD,1978,0.506,0,0,0
Bangladesh,BGD,1979,0.587,0,0,0
Bangladesh,BGD,1980,0.583,0,0,0
Bangladesh,BGD,1981,0.625,0,0,0
Bangladesh,BGD,1982,0.523,0,0,0
Bangladesh,BGD,1983,0.662,0,0,0
Bangladesh,BGD,1984,0.897,0,0,0
Bangladesh,BGD,1985,0.739,0,0,0
Bangladesh,BGD,1986,0.45,0,0,0
Bangladesh,BGD,1987,0.517,0,0,0
Bangladesh,BGD,1988,0.675,0,0,0
Bangladesh,BGD,1989,0.92,0,0,0
Bangladesh,BGD,1990,0.884,0,0,0
Bangladesh,BGD,1991,0.838,0,0,0
Bangladesh,BGD,1992,0.796,0,0,0
Bangladesh,BGD,1993,0.608,0,0,0
Bangladesh,BGD,1994,0.847,0,0,0
Bangladesh,BGD,1995,0.372,0,0,0
Bangladesh,BGD,1996,0.739,0,0,0
Bangladesh,BGD,1997,0.719,0,0,0
Bangladesh,BGD,1998,0.865,0,0,0
Bangladesh,BGD,1999,0.833,0,0,0
Bangladesh,BGD,2000,0.749,0,0.001010101,0
Bangladesh,BGD,2001,0.993,0,0.001010101,0
Bangladesh,BGD,2002,0.749,0,0.002020202,0
Bangladesh,BGD,2003,0.749,0,0.003030303,0
Bangladesh,BGD,2004,0.749,0,0.004040404,0
Bangladesh,BGD,2005,0.749,0.001010101,0.005050505,0
Bangladesh,BGD,2006,0.749,0.002020202,0.01010101,0
Bangladesh,BGD,2007,0.749,0.002020202,0.02020202,0
Bangladesh,BGD,2008,0.95,0.002020202,0.02020202,0
Bangladesh,BGD,2009,0.417,0.002020202,0.037,0
Bangladesh,BGD,2010,0.729,0.002020202,0.055,0
Bangladesh,BGD,2011,0.872,0.002020202,0.078,0
Bangladesh,BGD,2012,0.777,0.002025737,0.108,0
Bangladesh,BGD,2013,0.728378728,0.004,0.136,0
Bangladesh,BGD,2014,0.566453438,0.004,0.145,0
Bangladesh,BGD,2015,0.898146455,0.004,0.181394422,0
Bangladesh,BGD,2016,0.884632595,0.004010959,0.210278884,0
Belarus,BLR,1985,0.022097,0,0,0
Belarus,BLR,1986,0.022097,0,0,0
Belarus,BLR,1987,0.022097,0,0,0
Belarus,BLR,1988,0.022097,0,0,0
Belarus,BLR,1989,0.022097,0,0,0
Belarus,BLR,1990,0.022097,0,0,0
Belarus,BLR,1991,0.022097,0,0,0
Belarus,BLR,1992,0.022097,0,0,0
Belarus,BLR,1993,0.022097,0,0,0
Belarus,BLR,1994,0.022097,0,0,0
Belarus,BLR,1995,0.022097,0,0,0
Belarus,BLR,1996,0.0176776,0,0,0
Belarus,BLR,1997,0.022097,0,0,0
Belarus,BLR,1998,0.0265164,0,0,0.098947368
Belarus,BLR,1999,0.0176776,0,0,0.103157895
Belarus,BLR,2000,0.022097,0,0,0
Belarus,BLR,2001,0.0309358,0,0,0
Belarus,BLR,2002,0.0265164,0,0,0
Belarus,BLR,2003,0.0265164,0,0,0
Belarus,BLR,2004,0.0132582,0.001010101,0,0
Belarus,BLR,2005,0.036,0.001,0,0
Belarus,BLR,2006,0.035,0.001,0,0.002
Belarus,BLR,2007,0.035,0.001,0,0.014
Belarus,BLR,2008,0.039,0.001,0,0.033
Belarus,BLR,2009,0.045,0.001,0,0.06
Belarus,BLR,2010,0.045,0.001,0,0.084
Belarus,BLR,2011,0.042,0.004,0,0.095
Belarus,BLR,2012,0.072,0.006,0,0.095
Belarus,BLR,2013,0.138,0.008,0.0004,0.12
Belarus,BLR,2014,0.121,0.009,0.002,0.118
Belarus,BLR,2015,0.107,0.026,0.007,0.118
Belarus,BLR,2016,0.107293151,0.156427397,0.028777778,0.118323288
Belgium,BEL,1965,0.272,0,0,0
Belgium,BEL,1966,0.299,0,0,0
Belgium,BEL,1967,0.238,0,0,0
Belgium,BEL,1968,0.244,0,0,0
Belgium,BEL,1969,0.23,0,0,0
Belgium,BEL,1970,0.246,0,0,0
Belgium,BEL,1971,0.134,0,0,0
Belgium,BEL,1972,0.18,0,0,0
Belgium,BEL,1973,0.171,0,0,0.116
Belgium,BEL,1974,0.24,0,0,0.108
Belgium,BEL,1975,0.183,0,0,0.083
Belgium,BEL,1976,0.109,0,0,0.057
Belgium,BEL,1977,0.224,0,0,0.247
Belgium,BEL,1978,0.223,0,0,0.26
Belgium,BEL,1979,0.234,0,0,0.315
Belgium,BEL,1980,0.278,0,0,0.3
Belgium,BEL,1981,0.381,0,0,0.291
Belgium,BEL,1982,0.333,0,0,0.046
Belgium,BEL,1983,0.336,0,0,0.022
Belgium,BEL,1984,0.351,0,0,0.024
Belgium,BEL,1985,0.287,0,0,0.053
Belgium,BEL,1986,0.343,0,0,0.119
Belgium,BEL,1987,0.429,0.006,0,0.142
Belgium,BEL,1988,0.359,0.008,0,0.18
Belgium,BEL,1989,0.305,0.007,0,0.191
Belgium,BEL,1990,0.266,0.007,0,0.282
Belgium,BEL,1991,0.229,0.008,0,0.299
Belgium,BEL,1992,0.341,0.009,0,0.267
Belgium,BEL,1993,0.254,0.008,0,0.245
Belgium,BEL,1994,0.346,0.009,0,0.245
Belgium,BEL,1995,0.338,0.009,0,0.321
Belgium,BEL,1996,0.239,0.008,0,0.314
Belgium,BEL,1997,0.305,0.008,0,0.275
Belgium,BEL,1998,0.389,0.011,0,0.359
Belgium,BEL,1999,0.341,0.013,0,0.496
Belgium,BEL,2000,0.46,0.016,0,0.568
Belgium,BEL,2001,0.441,0.037,0,0.597
Belgium,BEL,2002,0.36,0.057,0,0.721
Belgium,BEL,2003,0.247,0.088,0,0.857
Belgium,BEL,2004,0.317,0.142,0.001,1.037
Belgium,BEL,2005,0.288,0.227,0.001,1.59
Belgium,BEL,2006,0.359,0.366,0.002,2.225
Belgium,BEL,2007,0.389,0.491,0.006,2.6
Belgium,BEL,2008,0.41,0.637,0.042,3.329
Belgium,BEL,2009,0.328,0.996,0.166,3.949
Belgium,BEL,2010,0.312,1.292,0.56,4.33
Belgium,BEL,2011,0.196,2.312,1.169,4.7
Belgium,BEL,2012,0.357,2.751,2.148,5.202
Belgium,BEL,2013,0.38,3.665,2.644,4.986
Belgium,BEL,2014,0.292,4.615,2.883,4.423
Belgium,BEL,2015,0.318,5.574,3.065,5.509
Belgium,BEL,2016,0.390380888,5.677698,2.950996,5.322331
Brazil,BRA,1965,23.975245,0,0,0
Brazil,BRA,1966,26.2247196,0,0,0
Brazil,BRA,1967,27.4312158,0,0,0
Brazil,BRA,1968,28.7084224,0,0,0
Brazil,BRA,1969,30.7236688,0,0,0
Brazil,BRA,1970,39.801,0,0,0.5146915
Brazil,BRA,1971,43.199,0,0,0.63339525
Brazil,BRA,1972,50.681,0,0,0.716570188
Brazil,BRA,1973,57.89,0,0,0.750800375
Brazil,BRA,1974,65.679,0,0,0.7851518
Brazil,BRA,1975,72.287,0,0,0.867177575
Brazil,BRA,1976,82.913,0,0,0.864337725
Brazil,BRA,1977,93.48,0,0,1.116845463
Brazil,BRA,1978,102.746,0,0,1.331944075
Brazil,BRA,1979,116.58,0,0,1.7760194
Brazil,BRA,1980,128.907,0,0,1.805508263
Brazil,BRA,1981,130.765,0,0,1.873622875
Brazil,BRA,1982,141.132,0,0,2.178474475
Brazil,BRA,1983,151.475,0,0,2.98445495
Brazil,BRA,1984,166.593,0,0,2.851678888
Brazil,BRA,1985,178.375,0,0,3.067125589
Brazil,BRA,1986,182.419,0,0,3.193932424
Brazil,BRA,1987,185.6,0,0,3.565697315
Brazil,BRA,1988,199.093,0,0,3.339783794
Brazil,BRA,1989,204.69,0,0,3.403162339
Brazil,BRA,1990,206.708,0,0,3.8590625
Brazil,BRA,1991,217.782,0,0,3.999612563
Brazil,BRA,1992,223.343,0,0,4.929360738
Brazil,BRA,1993,235.065,0,0,4.983937033
Brazil,BRA,1994,242.705,0,0,5.388223649
Brazil,BRA,1995,253.905,0,0,5.593740489
Brazil,BRA,1996,265.769,0.002,0,6.752709628
Brazil,BRA,1997,278.972,0.004,0,7.378950998
Brazil,BRA,1998,291.469,0.005,0,7.505233012
Brazil,BRA,1999,293,0.002,0,8.376002281
